longitude,latitude,icon
120.97443128047185,14.652494647671903,support
120.97681239569759,14.652734194478716,home
120.9789976635403,14.65272437934737,support
120.97365411793156,14.654359501186512,heart
120.9665350131546,14.656358424167669,home
120.97526569686887,14.65450747471757,power
120.97835692105652,14.654606379638317,home
120.97802167518361,14.655662497088125,briefcase
120.97144732384943,14.655546395735042,support
120.97399273852383,14.656660557738038,power
120.97679147828865,14.656408803159357,home
120.97922752168014,14.65666555907692,support
120.9770556737885,14.658257872113548,support
120.97939922218394,14.659251257282788,heart
120.97708571826755,14.660446147835962,briefcase
120.96448368123345,14.656639910173771,briefcase
120.9725961065044,14.660043703536491,power
120.98096943466768,14.659393869591392,heart
120.9860374300818,14.66277998914083,support
120.98500905877113,14.660088428689876,home
120.98612232741561,14.659207423119211,support
120.98311224288757,14.659756236547148,home
120.98248977710443,14.656638593729026,briefcase
120.98689280718217,14.656495730443062,power
120.98221356629439,14.655180969205345,briefcase
120.98568901911511,14.654272319501878,home
120.96961052921773,14.6534838886804,briefcase
120.98229949375744,14.653654049546168,power
120.98260693808018,14.652187132484064,support
120.98770949866163,14.653816504200172,home
120.98708538271171,14.652023640872422,power
120.99055263250102,14.656317266235959,briefcase
120.99390350431267,14.656508661665473,home
120.9898767781268,14.654738040264853,home
120.98962760133614,14.65246116104504,home
120.99083547575523,14.652273004065254,support
120.99475680455578,14.655009386198648,briefcase
121.0082394851679,14.408900817080028,briefcase
121.01440065434653,14.432835146494295,heart
121.00497649692211,14.45008365957453,home
120.9813867127606,14.48187949746839,heart
120.97682258799993,14.478852620674173,briefcase
120.97928646174601,14.480423469948807,briefcase
120.99356069122776,14.467719410926925,briefcase
120.98560459497038,14.482295156070059,power
120.97549290422407,14.487551712461697,power
120.97428845889375,14.448248906482814,heart
120.98275918396888,14.455140832967956,briefcase
120.97007824216205,14.458690160930862,power
121.00669552566308,14.42099187532951,support
120.988818582738,14.462035266071375,support
120.97609339372306,14.472782880535398,briefcase
120.98668420649565,14.437517195234125,briefcase
121.00063248232058,14.43651121913642,support
120.99731366654345,14.422878458927878,heart
121.00206296598283,14.444864085048076,heart
120.98665170920754,14.446790671126404,home
120.97510388328267,14.46535186824343,briefcase
121.01231280915506,14.546485285701047,briefcase
121.02581321981965,14.562262425375417,power
121.01645621524877,14.5767618940494,power
121.04937327475294,14.566540226348534,power
121.0642670053378,14.550044975359016,support
121.02696560452321,14.542505507438635,support
121.06128611570902,14.554720819434227,support
121.03617016648333,14.547759995780053,heart
121.04470778241082,14.563314580540567,briefcase
121.03861415545902,14.566402138488755,briefcase
121.0128166146254,14.57803884736626,power
121.00709344882026,14.569915327453838,heart
121.0174003139967,14.537274913499568,power
121.01817772732947,14.573226456550351,home
121.00112905473205,14.5616736633206,heart
121.05970024945927,14.545868534609413,support
121.0391002709237,14.559141418992425,heart
121.00915049439766,14.555763869225618,heart
121.04328971547822,14.558445630081717,support
121.02779880696303,14.56853802109459,home
121.04938914323816,14.55182701968227,heart
121.04404184247963,14.53086730133677,heart
121.0076742238732,14.565009399231343,home
121.00415779200712,14.555811414112892,heart
121.0183731916612,14.55369999423688,support
121.01622686125356,14.567864492095275,power
121.00861675498474,14.5736734238409,home
121.04970909654709,14.560511903331172,heart
121.01149628886475,14.573312359139724,support
121.02793719828162,14.55744011291902,support
121.02235760805668,14.572192445364037,briefcase
121.05831904898464,14.56236318338587,heart
120.96580441256337,14.669107805023318,briefcase
120.94299796828271,14.672788671684103,home
120.9410410909321,14.677395264779136,power
120.95515632279593,14.670682907899968,power
120.94566290220965,14.668567358775373,heart
120.93360644523302,14.692602935648162,power
120.93877942488444,14.675788830718057,power
120.93639567317877,14.681947814976514,power
120.94662445056296,14.66423657643169,power
120.9566714195387,14.653393307076552,briefcase
120.94436960350573,14.678190683995416,home
120.95119797116057,14.667051659756044,home
120.9562692820466,14.680925589901303,briefcase
120.98173661952873,14.66921421219427,support
120.94839510817803,14.659702983275698,home
120.95028103468135,14.65442966904419,home
120.96333372513762,14.674702499673694,briefcase
120.95674824741441,14.662368291228518,home
120.96483512386673,14.664083120016944,briefcase
121.03743237350713,14.586218779650691,support
121.02880248674218,14.592629147230763,home
121.03582449563486,14.573336185905871,heart
121.03732079888144,14.571396306052558,power
121.04552242884085,14.572719277580477,support
121.04013085025056,14.572249022827506,heart
121.052354784503,14.574868603309707,briefcase
121.02501783001713,14.590580706690655,power
121.02532787322698,14.594344904824554,heart
121.02845240892516,14.58929560997366,home
121.03205633297674,14.58966072513027,support
121.02533458021901,14.591785585367438,briefcase
121.04841509950536,14.580720848071163,home
121.02987541908605,14.572325026170564,heart
121.01944030846927,14.586348222852797,home
121.04251398981708,14.57643008660672,power
121.0436223619372,14.581387073006232,heart
121.0180690038655,14.58148278915003,power
121.02625100558178,14.584664728193701,support
121.02261366121644,14.583800449447683,briefcase
121.02271739738622,14.590791223354623,home
121.0318689233162,14.577875506206494,support
121.03945088052947,14.588739653980458,heart
121.02438795450531,14.588020863569625,power
121.02728487366056,14.582205554562847,heart
121.02266148110226,14.57924830024282,home
121.0511628502383,14.592055766906206,support
120.96564280697476,14.60383024162641,power
120.96864536545927,14.606056530172138,heart
120.95920127398954,14.621977398192916,power
120.95907805652577,14.625039261164806,power
120.9605867928436,14.621816948199024,heart
120.96072234128982,14.620468794701894,power
120.96136521834788,14.619169528266223,support
120.95911513306206,14.619808490012442,briefcase
120.95888927579979,14.623636293538382,support
120.95995249589103,14.617780363818733,support
120.96222631950975,14.617736761404807,support
120.96281385324204,14.616279500599378,briefcase
120.9652206696591,14.60139874801368,power
120.95944835524602,14.61580239341538,briefcase
120.96219253159576,14.616115717010649,heart
120.96095364356201,14.615996090730823,support
120.96108302934888,14.614376222702003,support
120.96278575531922,14.614698060771248,heart
120.96017119411829,14.612269145445381,power
120.96175831366047,14.612930450244587,power
120.96431513178219,14.600282774168058,support
120.96233277197791,14.61109037096257,power
120.96221078107506,14.611872479292675,support
120.96233435960997,14.614157544903309,home
120.96107515053886,14.61096287359431,briefcase
120.96061241457186,14.628701587300858,support
120.96310806052932,14.63227140845856,briefcase
120.9618429783783,14.6327899979985,briefcase
120.96252544588582,14.633390414749853,power
120.96091849931904,14.628469736986721,briefcase
120.96491064783092,14.602639587346827,home
120.96157683084857,14.627632954647808,support
120.96331835231881,14.629668305948082,power
120.9641877816544,14.627012304777256,briefcase
120.96268031006358,14.625913152217166,support
120.96330132523964,14.628009894365608,power
120.96646065649786,14.6328322283419,heart
120.96629687024013,14.630079038692092,heart
120.96548793571048,14.628403962666441,home
120.96374560709998,14.631536976262241,heart
120.96554725337616,14.62974778727759,heart
120.96521979864906,14.601986608026406,home
120.9645444888065,14.629778712341887,power
120.96513438250415,14.63063511775416,support
120.96436319847689,14.632173291214531,power
120.96738398057818,14.63067068117706,support
120.96759816756551,14.629805366632732,support
120.96692176977817,14.631562688215306,home
120.96511120012646,14.632513239820003,support
120.96612037990816,14.621802648059619,home
120.9672597432943,14.623306583310171,home
120.96855338043389,14.62044655185947,power
120.96404928077087,14.602309531345151,power
120.96747919898135,14.619083914094645,support
120.96833347303921,14.618383945221032,power
120.97160745810373,14.62148696833929,briefcase
120.9703324957688,14.621562623335958,home
120.96957406133302,14.618243618743232,power
120.9715626960944,14.620543496161588,heart
120.9711024873286,14.617598015104411,heart
120.97056779907936,14.618368874118389,support
120.97001579203297,14.620175469174693,briefcase
120.97144498314083,14.618883044240851,support
120.96399566713069,14.601299928569999,support
120.9714428178822,14.619708595409387,briefcase
120.97194033452325,14.627347898466065,support
120.97169659136179,14.626256443720255,power
120.97133908271923,14.623098189282562,briefcase
120.97154209959135,14.62457606179277,support
120.9717411473099,14.625384403795051,home
120.96957364976393,14.625171852168126,heart
120.96935367180957,14.62391533662545,briefcase
120.96779538557497,14.625316132332797,briefcase
120.96754604597723,14.62410618941135,home
120.96323000696205,14.601243475264779,power
120.96673106756951,14.626052897012725,support
120.96599256834214,14.62497303186529,heart
120.96555544401348,14.626654877337348,support
120.96999243870621,14.627504444540918,home
120.96977665046887,14.626376596080927,power
120.96809743604456,14.628089483192586,power
120.96749371022277,14.62717110985854,power
120.96855582293442,14.633204384595025,home
120.97106378108882,14.633065080224197,home
120.97060720390785,14.628904554530868,home
